#Method,AppID,Placement,PrivateLabelID,ShopperID,ISC,displayCurrency,TransactionalCurrency
GetOffersAndMessageData,39,appRotatingBanner08,1,15192263,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,999com25,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,52229671,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,35392488,999COM25,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,GPPT03C001,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,22350039,,INR,INR
GetOffersAndMessageData,7,dccCrossSellBanner,1,53566010,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53441705,bb2016dd60,USD,USD
GetOffersAndMessageData,26,narrow_rotating_banner_top,1,31984152,999COM25,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,27354494,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,14776152,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gdbba1463,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,31836765,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,53555856,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,8508526,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,42263341,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,GPPT06A001,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,36269829,gdbb1901,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gdbb15,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,26977106,999COM25,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,33604048,,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,18184551,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,18497002,999com25,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,38607315,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,17425979,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53441705,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,10752232,,GBP,GBP
GetOffersAndMessageData,7,dccCrossSellBanner,1,51369432,,USD,USD
GetOffersAndMessageData,2,iscBannerTop1000,1,0,gfnf4uka01,GBP,GBP
GetOffersAndMessageData,7,dccCrossSellBanner,1,18563806,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,50760064,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,27032509,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,53565905,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,20442040,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,359681,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,53504925,cjcmsc002t,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,53565905,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,53566056,hos3go018m,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53382981,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,53566092,gfnf4ro01,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,29331656,,USD,USD
GetOffersAndMessageData,26,square_rotating_banner_right,1,31984152,999COM25,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,cjc695tnw,BRL,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnf4inm01,INR,INR
GetOffersAndMessageData,46,dnsManagerCrossSell,1,7894947,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,35806281,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,999com25,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,8724392,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,18497002,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,53565905,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,53555856,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,53565905,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,17185503,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,9372908,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,gfnf4me24,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,27443275,cjcmsc001t,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,27354494,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,FB30TLD,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,15095467,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,39169555,999COM25,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,25656366,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,50760064,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,29434007,,GBP,GBP
GetOffersAndMessageData,7,dccCrossSellBanner,1,5687396,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,18563806,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,15815965,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53560265,,USD,USD
GetOffersAndMessageData,14,appRotatingBanner09,1,9049508,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,appsiteslg,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,44253036,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,44555712,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop800,1,53566061,gooem99aa,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,53565905,,USD,USD
GetOffersAndMessageData,39,appRotatingBanner08,1,2221334,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,0,GPPT02K030,GBP,GBP
GetOffersAndMessageData,39,appRotatingBanner08,1,47154878,,USD,USD
GetOffersAndMessageData,18,narrow_rotating_banner_right,1,50455282,,USD,USD
GetOffersAndMessageDataWithSubLocations,12,hccContainer,1,25245703,,USD,USD
GetOffersAndMessageData,7,dccCrossSellBanner,1,53513558,,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,53565905,,USD,USD
GetOffersAndMessageDataWithSubLocations,2,iscBannerTop1000,1,13193344,gdbb103,USD,USD
GetOffersAndMessageDataWithSubLocations,3,crmDealsOfTheDay,1,45743819,,USD,USD
GetOffersAndMessageData,46,dnsManagerCrossSell,1,4937277,,USD,USD
